Brand,Model,Launch Year,Segment,Fuel Type,Variants,Ex-Showroom Price (₹ Lakhs),Monthly Sales (Units),Is EV?,Battery / Mileage,Notable Features
Toyota,Hilux,2022,Compact SUV,Electric,16,8.40 - 23.40,7025,Yes,384 km range,"EBD, ADAS, Leather Seats, Ventilated Seats, Sunroof, Voice Control"
Mercedes,C-Class,2018,Compact SUV,Petrol,2,7.00 - 18.00,12443,No,16.5 kmpl,"Airbags, ESC, Power Windows, Ventilated Seats, Cruise Control, Leather Seats, Connected Car"
MG,ZS EV,2016,Hatchback,Petrol,19,3.50 - 8.50,13033,No,22.9 kmpl,"ABS, ADAS, Hill Hold, Cruise Control, Power Windows, Leather Seats, Sunroof, Touchscreen, Apple CarPlay, Voice Control"
Audi,Q3,2021,Compact SUV,Petrol,9,7.00 - 18.00,14638,No,15.6 kmpl,"360 Camera, TPMS, Ventilated Seats, Touchscreen, Leather Seats, AC, Wireless Charging"
Citroen,C5 Aircross,2020,Electric Hatchback,Petrol,19,6.00 - 12.00,1459,No,20.0 kmpl,"TPMS, 360 Camera, ABS, EBD, Ventilated Seats, Sunroof, Leather Seats, Touchscreen, Apple CarPlay, HUD"
BYD,Atto 3,2017,MPV,Diesel,25,8.00 - 20.00,5200,No,24.8 kmpl,"TPMS, 360 Camera, Airbags, AC, Sunroof, Touchscreen, Cruise Control, Apple CarPlay"
MG,ZS EV,2020,MPV,Petrol/CNG,6,8.00 - 20.00,4463,No,21.6 kmpl,"TPMS, 360 Camera, ADAS, ABS, Power Windows, Cruise Control, AC, Sunroof, Leather Seats, Connected Car, Wireless Charging, HUD"
Honda,City,2017,Hatchback,Electric,17,4.20 - 11.05,16615,Yes,407 km range,"TPMS, ADAS, EBD, Leather Seats, Touchscreen, Sunroof, HUD, Voice Control, Android Auto"
Jeep,Meridian,2019,Compact SUV,Petrol,11,7.00 - 18.00,9813,No,20.8 kmpl,"ABS, TPMS, AC, Power Windows, Cruise Control, Voice Control, Android Auto"
Lexus,RX,2023,SUV,Petrol,22,10.00 - 30.00,5575,No,16.7 kmpl,"Hill Hold, 360 Camera, Ventilated Seats, AC, Touchscreen, Cruise Control, Wireless Charging, Voice Control, Connected Car"
Force,Gurkha,2020,SUV,Diesel,10,10.00 - 30.00,5509,No,23.1 kmpl,"ABS, TPMS, 360 Camera, Cruise Control, Sunroof, Ventilated Seats, Power Windows, AC, Wireless Charging, Android Auto"
Audi,Q5,2019,Hatchback,Petrol,3,3.50 - 8.50,11918,No,18.6 kmpl,"TPMS, ESC, ABS, Leather Seats, Power Windows, Ventilated Seats, HUD, Connected Car, Android Auto"
Lexus,RX,2015,Electric Hatchback,Petrol,7,6.00 - 12.00,4741,No,23.1 kmpl,"EBD, ABS, 360 Camera, Hill Hold, Leather Seats, Touchscreen, Cruise Control, Android Auto"
Volkswagen,Taigun,2021,Hatchback,Electric,23,4.20 - 11.05,12887,Yes,289 km range,"Hill Hold, EBD, TPMS, AC, Ventilated Seats, Leather Seats, Cruise Control, Touchscreen, HUD, Apple CarPlay, Android Auto"
Toyota,Urban Cruiser,2021,Electric SUV,Petrol,17,12.00 - 25.00,3974,No,23.9 kmpl,"Airbags, ADAS, Hill Hold, TPMS, Touchscreen, AC, Sunroof, Leather Seats, Connected Car, HUD"
Force,Gurkha,2023,Compact SUV,Petrol,2,7.00 - 18.00,13714,No,20.3 kmpl,"TPMS, ABS, EBD, Ventilated Seats, AC, Sunroof, Power Windows, Touchscreen, Apple CarPlay"
Audi,Q5,2015,Compact SUV,Petrol,19,7.00 - 18.00,8357,No,17.1 kmpl,"ABS, Hill Hold, Airbags, ADAS, AC, Power Windows, Touchscreen, Sunroof, Leather Seats, Wireless Charging, Voice Control, HUD"
BMW,X1,2016,Hatchback,Petrol,16,3.50 - 8.50,12839,No,25.0 kmpl,"ESC, EBD, ADAS, Airbags, Touchscreen, Cruise Control, Power Windows, Connected Car, Voice Control, Wireless Charging"
Renault,Triber,2022,SUV,Petrol,22,10.00 - 30.00,6325,No,15.4 kmpl,"Hill Hold, TPMS, Power Windows, AC, Leather Seats, Apple CarPlay, Connected Car, Voice Control"
Force,Gurkha,2020,Electric Hatchback,Petrol,12,6.00 - 12.00,1893,No,17.1 kmpl,"Hill Hold, TPMS, Power Windows, Leather Seats, Sunroof, Ventilated Seats, AC, Wireless Charging, HUD, Apple CarPlay"
BYD,Atto 3,2018,Luxury,Petrol,4,30.00 - 100.00,726,No,15.8 kmpl,"ESC, EBD, Ventilated Seats, Power Windows, Touchscreen, Cruise Control, Sunroof, HUD, Wireless Charging, Connected Car"
Audi,Q5,2021,Compact SUV,Petrol,19,7.00 - 18.00,8733,No,18.0 kmpl,"Hill Hold, 360 Camera, Ventilated Seats, Cruise Control, Power Windows, Sunroof, HUD"
Mahindra,Marazzo,2018,Compact SUV,Petrol,11,7.00 - 18.00,12752,No,20.2 kmpl,"ESC, Hill Hold, Touchscreen, Sunroof, Ventilated Seats, AC, Cruise Control, Voice Control, Connected Car, Android Auto"
Mercedes,GLA,2015,Hatchback,Petrol,14,3.50 - 8.50,8286,No,17.1 kmpl,"ABS, EBD, Sunroof, Power Windows, Cruise Control, Ventilated Seats, Touchscreen, Voice Control, Wireless Charging"
Maruti Suzuki,Fronx,2017,Compact SUV,Petrol,15,7.00 - 18.00,8906,No,18.2 kmpl,"ESC, ADAS, Touchscreen, AC, Cruise Control, Power Windows, Apple CarPlay, Android Auto"
MG,ZS EV,2021,Compact SUV,Petrol,4,7.00 - 18.00,14608,No,17.2 kmpl,"TPMS, Hill Hold, Ventilated Seats, AC, Touchscreen, Sunroof, Cruise Control, HUD, Voice Control, Apple CarPlay"
Volkswagen,Taigun,2018,Electric SUV,Petrol,14,12.00 - 25.00,4156,No,18.4 kmpl,"Hill Hold, Airbags, Cruise Control, AC, Ventilated Seats, Touchscreen, Voice Control, Android Auto, HUD"
Citroen,C3,2021,Electric SUV,Petrol,14,12.00 - 25.00,3368,No,18.6 kmpl,"ESC, 360 Camera, Hill Hold, ADAS, Leather Seats, Sunroof, Power Windows, Ventilated Seats, AC, Apple CarPlay"
Skoda,Superb,2020,Hatchback,Petrol,19,3.50 - 8.50,13292,No,19.0 kmpl,"Hill Hold, ABS, Touchscreen, AC, Sunroof, Leather Seats, Voice Control, Apple CarPlay, Android Auto"
Nissan,Kicks,2023,Hatchback,Petrol,5,3.50 - 8.50,14755,No,19.0 kmpl,"ABS, TPMS, Hill Hold, Power Windows, Sunroof, Ventilated Seats, Connected Car"
Audi,Q5,2021,Compact SUV,Petrol,21,7.00 - 18.00,10950,No,21.1 kmpl,"360 Camera, TPMS, Ventilated Seats, Power Windows, Leather Seats, Wireless Charging"
Nissan,Magnite,2017,Compact SUV,Diesel,15,7.00 - 18.00,12410,No,22.9 kmpl,"360 Camera, EBD, ADAS, Cruise Control, AC, Sunroof, Leather Seats, Power Windows, Connected Car"
Volkswagen,Taigun,2016,Sedan,Petrol,19,6.00 - 15.00,9808,No,23.0 kmpl,"ABS, TPMS, Leather Seats, Touchscreen, Power Windows, Cruise Control, HUD"
Volkswagen,Polo,2023,MPV,Petrol,4,8.00 - 20.00,4843,No,17.8 kmpl,"ABS, EBD, Airbags, ADAS, AC, Cruise Control, Sunroof, HUD"
Lexus,RX,2020,Luxury,Petrol,15,30.00 - 100.00,775,No,24.5 kmpl,"360 Camera, Airbags, Touchscreen, AC, Cruise Control, Ventilated Seats, Apple CarPlay"
Toyota,Camry,2019,Electric Hatchback,Diesel,11,6.00 - 12.00,1551,No,18.3 kmpl,"ADAS, TPMS, Ventilated Seats, AC, Power Windows, Leather Seats, HUD, Voice Control, Android Auto"
Kia,Sonet,2019,Compact SUV,Petrol,1,7.00 - 18.00,9225,No,16.9 kmpl,"Airbags, ADAS, EBD, Leather Seats, Cruise Control, Ventilated Seats, Sunroof, Wireless Charging, Apple CarPlay"
Mercedes,A-Class,2016,Luxury,Electric,22,36.00 - 130.00,283,Yes,316 km range,"360 Camera, TPMS, ABS, Ventilated Seats, AC, Leather Seats, Cruise Control, Sunroof, HUD, Voice Control"
Kia,EV6,2015,MPV,Petrol,18,8.00 - 20.00,5517,No,22.1 kmpl,"ESC, 360 Camera, Power Windows, Cruise Control, AC, Leather Seats, Sunroof, Voice Control"
Renault,Kiger,2022,Hatchback,Diesel,16,3.50 - 8.50,8466,No,19.7 kmpl,"EBD, ADAS, Sunroof, Ventilated Seats, Leather Seats, Cruise Control, Connected Car, Android Auto, Apple CarPlay"
Audi,A4,2015,Compact SUV,Petrol,9,7.00 - 18.00,7302,No,21.2 kmpl,"360 Camera, Airbags, ESC, EBD, Cruise Control, Sunroof, Leather Seats, Power Windows, Android Auto, HUD"
Lexus,NX,2019,Hatchback,Diesel,11,3.50 - 8.50,11079,No,25.1 kmpl,"Hill Hold, ABS, Airbags, Power Windows, Cruise Control, Leather Seats, Wireless Charging"
Kia,Seltos,2023,Compact SUV,Petrol,14,7.00 - 18.00,12313,No,22.5 kmpl,"EBD, Airbags, Touchscreen, AC, Power Windows, Wireless Charging"
Mercedes,GLA,2019,Hatchback,Diesel,18,3.50 - 8.50,18751,No,21.9 kmpl,"ESC, ABS, EBD, ADAS, Cruise Control, AC, Leather Seats, Ventilated Seats, Sunroof, Voice Control, Connected Car, Apple CarPlay"
BMW,X1,2018,SUV,Petrol,6,10.00 - 30.00,5969,No,23.0 kmpl,"Airbags, ADAS, TPMS, 360 Camera, Cruise Control, Touchscreen, Leather Seats, Connected Car, Apple CarPlay, HUD"
Volkswagen,Taigun,2018,Compact SUV,Petrol,12,7.00 - 18.00,13800,No,18.3 kmpl,"ADAS, ABS, ESC, Cruise Control, Leather Seats, AC, Ventilated Seats, Power Windows, Connected Car"
Volkswagen,Polo,2016,Compact SUV,Petrol,11,7.00 - 18.00,9188,No,23.5 kmpl,"ABS, ESC, Ventilated Seats, AC, Touchscreen, Connected Car"
Audi,Q3,2016,Hatchback,Petrol,2,3.50 - 8.50,12412,No,16.5 kmpl,"Hill Hold, 360 Camera, ESC, Ventilated Seats, Cruise Control, Power Windows, Leather Seats, Apple CarPlay"
Citroen,C5 Aircross,2015,Hatchback,Petrol/CNG,18,3.50 - 8.50,10985,No,20.2 kmpl,"ADAS, Hill Hold, 360 Camera, Sunroof, Cruise Control, AC, Power Windows, Leather Seats, Apple CarPlay"
Nissan,Magnite,2023,Compact SUV,Electric,23,8.40 - 23.40,10186,Yes,369 km range,"Hill Hold, ABS, 360 Camera, EBD, Ventilated Seats, Cruise Control, AC, Apple CarPlay"
Maruti Suzuki,Wagon R,2019,Compact SUV,Petrol,7,7.00 - 18.00,9322,No,16.2 kmpl,"360 Camera, EBD, Airbags, Cruise Control, Touchscreen, AC, Ventilated Seats, Leather Seats, HUD, Connected Car, Android Auto"
Maruti Suzuki,Dzire,2015,Compact SUV,Diesel,8,7.00 - 18.00,10620,No,19.6 kmpl,"ADAS, ABS, 360 Camera, Ventilated Seats, AC, Sunroof, Leather Seats, Cruise Control, Apple CarPlay"
Jeep,Meridian,2015,Electric SUV,Petrol,13,12.00 - 25.00,1416,No,24.9 kmpl,"ESC, Hill Hold, ABS, ADAS, Sunroof, Leather Seats, Cruise Control, Wireless Charging"
Renault,Kiger,2021,Hatchback,Petrol,6,3.50 - 8.50,11553,No,23.4 kmpl,"ABS, ESC, Cruise Control, Power Windows, AC, Android Auto"
Jeep,Meridian,2021,Sedan,Diesel,4,6.00 - 15.00,13280,No,24.2 kmpl,"Hill Hold, EBD, 360 Camera, ABS, Cruise Control, AC, Ventilated Seats, Wireless Charging, Apple CarPlay, HUD"
Force,Gurkha,2019,Hatchback,Petrol/Diesel,15,3.50 - 8.50,13710,No,16.4 kmpl,"Airbags, ADAS, AC, Cruise Control, Touchscreen, Ventilated Seats, Sunroof, Wireless Charging, HUD, Apple CarPlay"
Skoda,Superb,2015,Electric SUV,Petrol,15,12.00 - 25.00,2408,No,15.1 kmpl,"Airbags, ABS, TPMS, Power Windows, Leather Seats, Ventilated Seats, Sunroof, Wireless Charging, Voice Control, Connected Car"
Volkswagen,Taigun,2019,Compact SUV,Petrol/CNG,5,7.00 - 18.00,11451,No,25.2 kmpl,"Hill Hold, ABS, 360 Camera, Cruise Control, Power Windows, Ventilated Seats, Touchscreen, Apple CarPlay, Android Auto"
Maruti Suzuki,Baleno,2019,Electric SUV,Petrol,25,12.00 - 25.00,3049,No,23.3 kmpl,"360 Camera, Hill Hold, Airbags, ABS, AC, Sunroof, Touchscreen, Apple CarPlay"
Skoda,Kushaq,2015,Compact SUV,Petrol,21,7.00 - 18.00,13043,No,22.8 kmpl,"ADAS, Airbags, Leather Seats, Cruise Control, Power Windows, Wireless Charging, Voice Control"
Jeep,Meridian,2021,Compact SUV,Petrol,16,7.00 - 18.00,14655,No,24.4 kmpl,"Hill Hold, 360 Camera, Power Windows, Sunroof, AC, Android Auto, Wireless Charging"
Tata,Tigor,2022,Compact SUV,Petrol,7,7.00 - 18.00,14746,No,18.9 kmpl,"ADAS, Airbags, ABS, 360 Camera, Power Windows, Sunroof, Ventilated Seats, Touchscreen, Cruise Control, Android Auto"
Maruti Suzuki,Swift,2017,Hatchback,Petrol/CNG,10,3.50 - 8.50,9519,No,25.0 kmpl,"ESC, TPMS, ABS, ADAS, Cruise Control, Leather Seats, Ventilated Seats, Touchscreen, Power Windows, HUD, Connected Car"
Nissan,Magnite,2016,Compact SUV,Petrol,17,7.00 - 18.00,5938,No,20.0 kmpl,"Airbags, ESC, Hill Hold, 360 Camera, Cruise Control, Touchscreen, Sunroof, Ventilated Seats, Wireless Charging"
Skoda,Kushaq,2023,Sedan,Electric,11,7.20 - 19.50,9556,Yes,259 km range,"360 Camera, ADAS, Hill Hold, Leather Seats, AC, Touchscreen, HUD"
Hyundai,Exter,2017,SUV,Petrol,18,10.00 - 30.00,4072,No,25.0 kmpl,"ADAS, 360 Camera, Ventilated Seats, Sunroof, Power Windows, Leather Seats, Cruise Control, Voice Control, Apple CarPlay, HUD"
Nissan,Kicks,2021,Compact SUV,Petrol/CNG,8,7.00 - 18.00,5916,No,27.4 kmpl,"Hill Hold, Airbags, 360 Camera, Cruise Control, Sunroof, Touchscreen, Leather Seats, Ventilated Seats, Wireless Charging, HUD, Android Auto"
MG,Gloster,2021,Compact SUV,Diesel,5,7.00 - 18.00,15088,No,19.1 kmpl,"Airbags, TPMS, Hill Hold, Ventilated Seats, Leather Seats, Touchscreen, AC, Sunroof, HUD, Apple CarPlay, Android Auto"
Jeep,Compass,2021,SUV,Petrol,1,10.00 - 30.00,3247,No,17.5 kmpl,"360 Camera, ESC, EBD, ADAS, Cruise Control, AC, Sunroof, Touchscreen, HUD, Connected Car"
Nissan,Kicks,2019,Electric SUV,Diesel,9,12.00 - 25.00,4028,No,21.2 kmpl,"EBD, ABS, ESC, Ventilated Seats, Cruise Control, AC, Android Auto, HUD"
Force,Gurkha,2021,Sedan,Petrol,3,6.00 - 15.00,11942,No,22.6 kmpl,"Airbags, TPMS, ESC, ABS, Touchscreen, Cruise Control, Leather Seats, Power Windows, Android Auto, Wireless Charging, Apple CarPlay"
Citroen,C5 Aircross,2019,Compact SUV,Petrol,14,7.00 - 18.00,8921,No,23.0 kmpl,"ESC, Airbags, Touchscreen, AC, Cruise Control, Power Windows, Connected Car, Wireless Charging, Voice Control"
Mahindra,XUV 700,2017,Compact SUV,Petrol,11,7.00 - 18.00,12761,No,19.3 kmpl,"360 Camera, Hill Hold, ABS, Leather Seats, Sunroof, Power Windows, Voice Control, HUD, Wireless Charging"
Nissan,Kicks,2022,Hatchback,Diesel,23,3.50 - 8.50,18875,No,20.5 kmpl,"ABS, ADAS, Airbags, Sunroof, Touchscreen, Power Windows, Cruise Control, Leather Seats, Connected Car, Android Auto"
Kia,Sonet,2019,Sedan,Petrol,21,6.00 - 15.00,6206,No,20.9 kmpl,"ESC, ADAS, 360 Camera, EBD, Power Windows, Cruise Control, AC, Ventilated Seats, HUD"
Skoda,Slavia,2021,Hatchback,Petrol,12,3.50 - 8.50,15138,No,24.8 kmpl,"360 Camera, ADAS, ESC, Sunroof, Leather Seats, AC, Power Windows, Touchscreen, Android Auto, Voice Control, Connected Car"
Force,Gurkha,2019,Compact SUV,Petrol,20,7.00 - 18.00,14485,No,16.9 kmpl,"ABS, 360 Camera, ESC, Airbags, Power Windows, Sunroof, Leather Seats, Cruise Control, Touchscreen, Android Auto"
Maruti Suzuki,Fronx,2023,Compact SUV,Petrol,10,7.00 - 18.00,10765,No,16.8 kmpl,"TPMS, 360 Camera, Leather Seats, AC, Cruise Control, Ventilated Seats, Wireless Charging"
Tata,Safari,2019,Compact SUV,Petrol,8,7.00 - 18.00,7680,No,17.2 kmpl,"Airbags, EBD, ADAS, Touchscreen, Power Windows, Sunroof, Wireless Charging, Apple CarPlay"
Maruti Suzuki,Swift,2015,Compact SUV,Petrol/CNG,18,7.00 - 18.00,12748,No,23.1 kmpl,"EBD, ABS, Hill Hold, Power Windows, Touchscreen, Leather Seats, Sunroof, AC, Connected Car, Android Auto, Apple CarPlay"
Renault,Kwid,2021,Hatchback,Petrol,13,3.50 - 8.50,12600,No,22.8 kmpl,"Hill Hold, Airbags, 360 Camera, Ventilated Seats, Power Windows, Cruise Control, AC, Touchscreen, Connected Car"
Force,Gurkha,2021,Hatchback,Electric,1,4.20 - 11.05,18428,Yes,463 km range,"Hill Hold, TPMS, Touchscreen, Leather Seats, Sunroof, Android Auto, Voice Control, HUD"
BMW,2 Series,2020,Hatchback,Petrol,18,3.50 - 8.50,15380,No,20.8 kmpl,"EBD, ADAS, ABS, Hill Hold, AC, Sunroof, Power Windows, Connected Car, HUD"
Renault,Kiger,2016,Luxury,Petrol,1,30.00 - 100.00,161,No,21.2 kmpl,"TPMS, Airbags, Ventilated Seats, Touchscreen, Cruise Control, Voice Control, Apple CarPlay, Connected Car"
Nissan,Magnite,2016,Sedan,Petrol,16,6.00 - 15.00,12717,No,22.1 kmpl,"EBD, ESC, Sunroof, Leather Seats, Ventilated Seats, Touchscreen, Cruise Control, Voice Control"
BMW,3 Series,2019,Electric SUV,Petrol,11,12.00 - 25.00,3582,No,17.1 kmpl,"ABS, TPMS, Ventilated Seats, Sunroof, Power Windows, Touchscreen, Leather Seats, HUD, Apple CarPlay, Voice Control"
Force,Gurkha,2017,Electric SUV,Diesel,7,12.00 - 25.00,1820,No,22.6 kmpl,"ESC, TPMS, Sunroof, Leather Seats, Power Windows, Cruise Control, HUD"
BYD,E6,2016,Sedan,Petrol,9,6.00 - 15.00,4916,No,17.1 kmpl,"ABS, ADAS, 360 Camera, Hill Hold, Power Windows, Ventilated Seats, Leather Seats, Connected Car, Wireless Charging"
BMW,2 Series,2015,Sedan,Petrol,7,6.00 - 15.00,8557,No,21.3 kmpl,"360 Camera, TPMS, Airbags, ADAS, Cruise Control, Ventilated Seats, AC, Wireless Charging, Apple CarPlay"
Skoda,Kushaq,2023,Compact SUV,Petrol/CNG,14,7.00 - 18.00,14003,No,21.5 kmpl,"ABS, Airbags, TPMS, Touchscreen, Sunroof, Cruise Control, Connected Car"
Honda,WR-V,2015,Compact SUV,Electric,12,8.40 - 23.40,6861,Yes,274 km range,"TPMS, 360 Camera, Cruise Control, Power Windows, Ventilated Seats, Sunroof, AC, Wireless Charging, Android Auto"
Lexus,RX,2017,SUV,Petrol,14,10.00 - 30.00,5079,No,23.5 kmpl,"Hill Hold, Airbags, ADAS, ABS, Leather Seats, Cruise Control, Ventilated Seats, Power Windows, Touchscreen, Android Auto"
Tata,Harrier,2016,Sedan,Petrol,12,6.00 - 15.00,8226,No,22.7 kmpl,"360 Camera, Hill Hold, TPMS, ESC, Leather Seats, Cruise Control, Ventilated Seats, AC, HUD, Apple CarPlay, Connected Car"
Honda,WR-V,2020,Luxury,Petrol,2,30.00 - 100.00,645,No,15.8 kmpl,"Airbags, EBD, Cruise Control, Ventilated Seats, Leather Seats, AC, Connected Car"
Renault,Triber,2019,Luxury,Petrol,16,30.00 - 100.00,158,No,21.4 kmpl,"Hill Hold, ADAS, 360 Camera, ABS, Cruise Control, Ventilated Seats, AC, Apple CarPlay, Wireless Charging"
Lexus,NX,2018,Electric Hatchback,Diesel,21,6.00 - 12.00,2099,No,27.9 kmpl,"ADAS, ABS, 360 Camera, Touchscreen, Power Windows, Ventilated Seats, Leather Seats, Sunroof, Wireless Charging"
Toyota,Hilux,2021,Hatchback,Electric,11,4.20 - 11.05,10427,Yes,230 km range,"ABS, TPMS, Sunroof, Power Windows, Leather Seats, Apple CarPlay, Android Auto"
MG,Astor,2021,Hatchback,Petrol,21,3.50 - 8.50,10184,No,19.9 kmpl,"EBD, TPMS, ESC, Hill Hold, Power Windows, Touchscreen, Ventilated Seats, Sunroof, AC, Wireless Charging, Voice Control, HUD"
Citroen,C5 Aircross,2017,Hatchback,Diesel,19,3.50 - 8.50,16125,No,20.4 kmpl,"ABS, 360 Camera, ADAS, Airbags, AC, Ventilated Seats, Sunroof, Wireless Charging, Voice Control, Connected Car"
Audi,A4,2022,Compact SUV,Petrol/CNG,25,7.00 - 18.00,11039,No,24.2 kmpl,"ABS, TPMS, Hill Hold, EBD, AC, Sunroof, Leather Seats, Ventilated Seats, HUD, Connected Car, Voice Control"
Toyota,Innova,2018,Sedan,Petrol/Diesel,25,6.00 - 15.00,9126,No,16.4 kmpl,"ADAS, TPMS, Power Windows, Touchscreen, AC, Apple CarPlay, HUD"
Mahindra,XUV 700,2015,Hatchback,Petrol/CNG,15,3.50 - 8.50,18800,No,27.9 kmpl,"TPMS, ESC, Touchscreen, Leather Seats, Cruise Control, Ventilated Seats, Android Auto, Connected Car"
Kia,Sonet,2021,MPV,Petrol,19,8.00 - 20.00,2731,No,22.5 kmpl,"ESC, ADAS, AC, Power Windows, Touchscreen, Sunroof, Leather Seats, HUD, Android Auto"
Honda,City,2022,SUV,Petrol,12,10.00 - 30.00,5617,No,21.9 kmpl,"Hill Hold, EBD, TPMS, Touchscreen, Leather Seats, Power Windows, Apple CarPlay"
Renault,Kiger,2016,Compact SUV,Petrol,15,7.00 - 18.00,11245,No,16.3 kmpl,"TPMS, Hill Hold, ESC, Power Windows, Touchscreen, AC, Android Auto"
Lexus,ES,2016,MPV,Petrol,23,8.00 - 20.00,4357,No,23.6 kmpl,"TPMS, Hill Hold, Touchscreen, Power Windows, Leather Seats, Connected Car"
Mercedes,C-Class,2015,Electric Hatchback,Diesel,14,6.00 - 12.00,2614,No,21.1 kmpl,"TPMS, Airbags, Hill Hold, ADAS, AC, Leather Seats, Cruise Control, Sunroof, Android Auto"
MG,Astor,2022,SUV,Petrol,23,10.00 - 30.00,7068,No,24.3 kmpl,"Hill Hold, ESC, ADAS, Touchscreen, Leather Seats, Power Windows, Voice Control, Apple CarPlay, Android Auto"
Nissan,Kicks,2015,Luxury,Petrol/CNG,5,30.00 - 100.00,764,No,24.1 kmpl,"ABS, ESC, TPMS, 360 Camera, Touchscreen, Cruise Control, Sunroof, AC, Leather Seats, Android Auto"
Jeep,Compass,2016,Compact SUV,Petrol,18,7.00 - 18.00,12686,No,23.2 kmpl,"ABS, ADAS, Touchscreen, AC, Cruise Control, Android Auto, HUD"
Jeep,Meridian,2016,Hatchback,Diesel,2,3.50 - 8.50,18614,No,24.0 kmpl,"Airbags, ABS, Hill Hold, TPMS, Cruise Control, Touchscreen, Power Windows, Leather Seats, Ventilated Seats, Android Auto, Wireless Charging, HUD"
Renault,Kiger,2017,Electric Hatchback,Petrol,8,6.00 - 12.00,3641,No,18.8 kmpl,"Airbags, ADAS, EBD, Sunroof, AC, Ventilated Seats, Power Windows, Touchscreen, Android Auto"
MG,ZS EV,2015,Sedan,Electric,12,7.20 - 19.50,4577,Yes,289 km range,"360 Camera, EBD, ADAS, ABS, AC, Touchscreen, Power Windows, Leather Seats, Wireless Charging, Apple CarPlay"
Hyundai,Verna,2020,Luxury,Petrol,24,30.00 - 100.00,740,No,20.3 kmpl,"TPMS, ADAS, 360 Camera, ABS, Leather Seats, Sunroof, Ventilated Seats, Touchscreen, Connected Car, Wireless Charging"
Audi,A4,2018,Hatchback,Petrol,22,3.50 - 8.50,18991,No,23.3 kmpl,"TPMS, 360 Camera, ABS, EBD, AC, Cruise Control, Touchscreen, Leather Seats, Sunroof, HUD, Android Auto"
Honda,Elevate,2015,Sedan,Diesel,1,6.00 - 15.00,5734,No,27.4 kmpl,"ADAS, EBD, 360 Camera, AC, Leather Seats, Touchscreen, Connected Car"
Nissan,Kicks,2021,Compact SUV,Diesel,18,7.00 - 18.00,7862,No,21.7 kmpl,"360 Camera, ABS, TPMS, Power Windows, Sunroof, Ventilated Seats, AC, Voice Control, Connected Car"
Maruti Suzuki,Dzire,2021,SUV,Petrol,20,10.00 - 30.00,4043,No,19.8 kmpl,"EBD, ABS, AC, Leather Seats, Power Windows, Sunroof, Ventilated Seats, Connected Car, Apple CarPlay, Android Auto"
Citroen,C3,2018,Compact SUV,Diesel,7,7.00 - 18.00,9994,No,22.5 kmpl,"ABS, Airbags, Power Windows, Touchscreen, Ventilated Seats, Connected Car, Wireless Charging, HUD"
Jeep,Meridian,2022,Electric SUV,Petrol,16,12.00 - 25.00,1313,No,23.1 kmpl,"360 Camera, ADAS, EBD, ESC, Leather Seats, Touchscreen, Power Windows, Ventilated Seats, Cruise Control, Android Auto"
BYD,Atto 3,2019,Compact SUV,Petrol/CNG,17,7.00 - 18.00,9187,No,28.2 kmpl,"ABS, ESC, TPMS, Airbags, Ventilated Seats, AC, Power Windows, Connected Car, HUD"
Honda,WR-V,2018,Hatchback,Diesel,11,3.50 - 8.50,10158,No,18.0 kmpl,"EBD, Airbags, TPMS, Cruise Control, Leather Seats, Power Windows, Ventilated Seats, Android Auto, Apple CarPlay, Wireless Charging"
Mahindra,Scorpio,2017,Compact SUV,Petrol,9,7.00 - 18.00,13333,No,18.8 kmpl,"EBD, ESC, TPMS, Hill Hold, Ventilated Seats, AC, Power Windows, Leather Seats, Connected Car, Wireless Charging, HUD"
Toyota,Urban Cruiser,2022,SUV,Diesel,17,10.00 - 30.00,5653,No,25.6 kmpl,"ADAS, ABS, Airbags, Touchscreen, Leather Seats, Power Windows, Voice Control"
Renault,Triber,2015,MPV,Petrol,20,8.00 - 20.00,5626,No,19.1 kmpl,"Hill Hold, ABS, AC, Touchscreen, Power Windows, Apple CarPlay"
Tata,Altroz,2015,Electric SUV,Petrol,5,12.00 - 25.00,1409,No,19.2 kmpl,"ADAS, TPMS, ESC, Airbags, Ventilated Seats, Cruise Control, Power Windows, Leather Seats, HUD, Connected Car"
MG,Comet EV,2020,Sedan,Petrol,5,6.00 - 15.00,5825,No,17.9 kmpl,"ADAS, Hill Hold, EBD, ESC, Power Windows, Touchscreen, Ventilated Seats, Android Auto, Wireless Charging"
Jeep,Meridian,2023,Compact SUV,Petrol,20,7.00 - 18.00,6663,No,19.2 kmpl,"ABS, 360 Camera, TPMS, Power Windows, Sunroof, Ventilated Seats, AC, Connected Car, Apple CarPlay, HUD"
Toyota,Innova,2021,Hatchback,Petrol,14,3.50 - 8.50,12014,No,21.2 kmpl,"Hill Hold, 360 Camera, Touchscreen, Leather Seats, Ventilated Seats, Power Windows, Voice Control, Apple CarPlay"
Kia,Sonet,2023,Compact SUV,Petrol,22,7.00 - 18.00,10994,No,17.0 kmpl,"Hill Hold, 360 Camera, Sunroof, Power Windows, Ventilated Seats, Leather Seats, Android Auto, Voice Control"
Nissan,Magnite,2021,Electric Hatchback,Petrol,20,6.00 - 12.00,2413,No,24.3 kmpl,"ESC, 360 Camera, TPMS, AC, Ventilated Seats, Cruise Control, Touchscreen, Leather Seats, Android Auto, Connected Car"
